SETID,LOCATION,EFFDT,EFF_STATUS,DESCR
IND,2509,01-01-1901 00:00:00,A,TRISSUR-VICTORIA COLLEGE_BR
IND,3173,01-01-1901 00:00:00,A,BENGALURU-RK HEDGENAGAR_BR
IND,3464,01-01-1902 00:00:00,A,SURAT-ANTROLI
IND,2589,01-01-1902 00:00:00,A,MARGAO-BENAULIM_BR
IND,3903,01-01-1901 00:00:00,A,BENGALURU-KODICHIKKANAHALLI_BR
IND,7288,01-01-1901 00:00:00,A,TIRUPPUR-ANNUPARAPALAYAM
IND,3784,01-01-1901 00:00:00,A,THIRUVANNAMALAI-VANDAVASI_BR
IND,2488,01-01-1901 00:00:00,A,KOZHIKODE-MANKAV_BR
IND,2285,01-01-1901 00:00:00,A,VILLUPURAM-AGALUR_BR
IND,3035,01-01-1901 00:00:00,A,RAMANATHAPURAM-ARIYANEDAL_BR
IND,4388,01-01-1901 00:00:00,A,BENGALURU-ATTIBELE
IND,3229,01-01-1901 00:00:00,A,KANCHEEPURAM-CHITLAPAKKAM_BR
IND,3964,01-01-1901 00:00:00,A,SALEM-ELAMPILLAI_BR
IND,3010,01-01-1901 00:00:00,A,VILLUPURAM-KOLLAR_BR
IND,3943,01-01-1901 00:00:00,A,THRISSUR-MARAR ROAD_BR
IND,4192,01-01-1901 00:00:00,A,MADURAI-MUDUVARPATTI_BR
IND,3101,01-01-1901 00:00:00,A,RAICHUR-SHANTINAGAR_BR
IND,3030,01-01-1903 00:00:00,A,SHAJAPUR-BHAWARI KHEDA_BR
IND,4185,01-01-1903 00:00:00,A,KHARGONE-BHIKANGAON_BR
IND,2283,01-01-1901 00:00:00,A,TIRUVARUR-SIRUPULIYUR_BR
IND,2250,01-01-1903 00:00:00,A,VADODARA-BHINDOL_BR
IND,3226,01-01-1901 00:00:00,A,CHENNAI-TIRUPORUR_BR
IND,3025,01-01-1901 00:00:00,A,BELGAUM-TUKANHATTI_BR
IND,7505,01-01-1903 00:00:00,A,SURAT-DABHOLI
IND,3022,01-01-1901 00:00:00,A,TIRUVANAMALAI-PAKRIPALAYM_BR
IND,2278,01-01-1901 00:00:00,A,TIRVANAMALAI-BOOTHAMANGALAM_BR
IND,3880,01-01-1902 00:00:00,A,INDORE-SIYAGANJ_BR
IND,1221,01-01-1902 00:00:00,A,MUMBAI-MALAD (W) LINK ROAD_BR
IND,3409,01-01-1902 00:00:00,A,THANE-VIRAR_BR
IND,1241,01-01-1902 00:00:00,A,MUMBAI-DAHISAR E THAKUR RD_BR
