SETID,SAL_ADMIN_PLAN,GRADE,EFFDT,EFF_STATUS,DESCR,DESCRSHORT
UAE,UAE,60,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM
MYS,MYS,60,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
THA,THA,60,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
ZAF,ZAF,60,01-01-1900 00:00:00,A,JT GENERAL MANAGER,JGM
BHR,BHR,60,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM
GBR,GBR,63,01-01-1900 00:00:00,A,SR GENERAL MANAGER-II,SGM-II
HKG,HKG,65,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
CHN,CHN,65,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
DEU,DEU,65,01-01-1900 00:00:00,A,GCSCO,GCSCO
LKA,LKA,65,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM
BEL,BEL,65,01-01-2000 00:00:00,A,GCSCO,GCSCO
RUS,RUS,65,01-01-1900 00:00:00,A,GCSCO,GCSCO
GBR,GBR,65,01-01-1900 00:00:00,A,GCSCO,GCSCO
BGD,BGD,65,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
SGP,SGP,65,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
USA,USA,65,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
BHR,BHR,65,01-01-1900 00:00:00,A,GCSCO,GCSCO
ZAF,ZAF,65,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
THA,THA,65,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
MYS,MYS,65,01-01-1900 00:00:00,A,GENERAL MANAGER,GM
UAE,UAE,65,01-01-1900 00:00:00,A,GCSCO,GCSCO
QAT,QAT,65,01-01-1900 00:00:00,A,GCSCO,GCSCO
CAN,CAN,65,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
IND,CONS,7,01-01-1900 00:00:00,A,CONSULTANT,CONS
CHN,CHN,70,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM
HKG,HKG,70,01-01-1900 00:00:00,A,SR GENERAL MANAGER - I,SGM-I
USA,USA,70,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
SGP,SGP,70,01-01-1900 00:00:00,A,SR GENERAL MANAGER - I,SGM-I
BGD,BGD,70,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM
GBR,GBR,70,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
RUS,RUS,70,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
BEL,BEL,70,01-01-2000 00:00:00,A,GROUP CHIEF OFFICER,GCO
LKA,LKA,70,01-01-1900 00:00:00,A,GCSCO,GCSCO
DEU,DEU,70,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
CAN,CAN,70,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
IND,IND,70,01-01-1900 00:00:00,A,TRAINEE,TR
QAT,QAT,70,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
UAE,UAE,70,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
MYS,MYS,70,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM
THA,THA,70,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM
ZAF,ZAF,70,01-01-1900 00:00:00,A,SR GENERAL MANAGER,SGM
BHR,BHR,70,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
HKG,HKG,73,01-01-1900 00:00:00,A,SR GENERAL MANAGER - II,SGM-II
CHN,CHN,75,01-01-1900 00:00:00,A,GCSCO,GCSCO
HKG,HKG,75,01-01-1900 00:00:00,A,GCSCO,GCSCO
DEU,DEU,75,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
LKA,LKA,75,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
BEL,BEL,75,01-01-2000 00:00:00,A,EXECUTIVE DIRECTOR,ED
RUS,RUS,75,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
GBR,GBR,75,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
BGD,BGD,75,01-01-1900 00:00:00,A,GCSCO,GCSCO
SGP,SGP,75,01-01-1900 00:00:00,A,GCSCO,GCSCO
USA,USA,75,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
BHR,BHR,75,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
ZAF,ZAF,75,01-01-1900 00:00:00,A,GCSCO,GCSCO
THA,THA,75,01-01-1900 00:00:00,A,GCSCO,GCSCO
MYS,MYS,75,01-01-1900 00:00:00,A,GCSCO,GCSCO
UAE,UAE,75,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
